     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   1.53000 ,   -2.39494 ,    1.41469 ,    2.78156 ,   -0.63866 ,    1.70270 ,    1.81854
   1.54000 ,   -2.55281 ,    1.05752 ,    2.76318 ,   -0.82392 ,    1.57049 ,    1.77349
   1.55000 ,   -2.64795 ,    0.67799 ,    2.73336 ,   -0.98439 ,    1.41408 ,    1.72298
   1.56000 ,   -2.67670 ,    0.28856 ,    2.69221 ,   -1.11642 ,    1.23832 ,    1.66729
   1.57000 ,   -2.63813 ,   -0.09769 ,    2.63993 ,   -1.21740 ,    1.04862 ,    1.60675
   1.58000 ,   -2.53405 ,   -0.46767 ,    2.57684 ,   -1.28577 ,    0.85078 ,    1.54176
   1.59000 ,   -2.36904 ,   -0.80891 ,    2.50333 ,   -1.32116 ,    0.65076 ,    1.47273
   1.60000 ,   -2.15021 ,   -1.11019 ,    2.41990 ,   -1.32432 ,    0.45440 ,    1.40011
   1.61000 ,   -1.88692 ,   -1.36202 ,    2.32713 ,   -1.29714 ,    0.26722 ,    1.32437
   1.62000 ,   -1.59028 ,   -1.55714 ,    2.22568 ,   -1.24247 ,    0.09422 ,    1.24603
   1.63000 ,   -1.27265 ,   -1.69087 ,    2.11628 ,   -1.16404 ,   -0.06037 ,    1.16561
   1.64000 ,   -0.94701 ,   -1.76127 ,    1.99973 ,   -1.06628 ,   -0.19319 ,    1.08364
   1.65000 ,   -0.62638 ,   -1.76927 ,    1.87687 ,   -0.95405 ,   -0.30188 ,    1.00067
   1.66000 ,   -0.32309 ,   -1.71852 ,    1.74863 ,   -0.83248 ,   -0.38512 ,    0.91725
   1.67000 ,   -0.04827 ,   -1.61522 ,    1.61595 ,   -0.70673 ,   -0.44269 ,    0.83393
   1.68000 ,    0.18871 ,   -1.46773 ,    1.47981 ,   -0.58175 ,   -0.47536 ,    0.75126
   1.69000 ,    0.38068 ,   -1.28607 ,    1.34123 ,   -0.46205 ,   -0.48487 ,    0.66977
   1.70000 ,    0.52294 ,   -1.08146 ,    1.20126 ,   -0.35161 ,   -0.47375 ,    0.58997
   1.71000 ,    0.61345 ,   -0.86562 ,    1.06095 ,   -0.25363 ,   -0.44520 ,    0.51237
   1.72000 ,    0.65287 ,   -0.65018 ,    0.92140 ,   -0.17049 ,   -0.40287 ,    0.43746
   1.73000 ,    0.64437 ,   -0.44610 ,    0.78373 ,   -0.10369 ,   -0.35067 ,    0.36568
   1.74000 ,    0.59344 ,   -0.26310 ,    0.64914 ,   -0.05383 ,   -0.29260 ,    0.29751
   1.75000 ,    0.50744 ,   -0.10915 ,    0.51904 ,   -0.02064 ,   -0.23247 ,    0.23338
   1.76000 ,    0.39518 ,    0.00984 ,    0.39530 ,   -0.00305 ,   -0.17382 ,    0.17384
   1.77000 ,    0.26635 ,    0.09026 ,    0.28122 ,    0.00065 ,   -0.11969 ,    0.11969
   1.78000 ,    0.13092 ,    0.13094 ,    0.18516 ,   -0.00728 ,   -0.07255 ,    0.07291
   1.79000 ,   -0.00138 ,    0.13308 ,    0.13308 ,   -0.02422 ,   -0.03418 ,    0.04189
   1.80000 ,   -0.12168 ,    0.10006 ,    0.15754 ,   -0.04735 ,   -0.00567 ,    0.04769
   1.81000 ,   -0.22237 ,    0.03718 ,    0.22546 ,   -0.07383 ,    0.01261 ,    0.07490
   1.82000 ,   -0.29755 ,   -0.04878 ,    0.30152 ,   -0.10097 ,    0.02097 ,    0.10313
   1.83000 ,   -0.34327 ,   -0.15002 ,    0.37462 ,   -0.12635 ,    0.02030 ,    0.12797
   1.84000 ,   -0.35767 ,   -0.25824 ,    0.44115 ,   -0.14796 ,    0.01199 ,    0.14845
   1.85000 ,   -0.34103 ,   -0.36515 ,    0.49964 ,   -0.16428 ,   -0.00222 ,    0.16430
   1.86000 ,   -0.29561 ,   -0.46303 ,    0.54935 ,   -0.17433 ,   -0.02036 ,    0.17552
   1.87000 ,   -0.22546 ,   -0.54514 ,    0.58993 ,   -0.17769 ,   -0.04038 ,    0.18222
   1.88000 ,   -0.13602 ,   -0.60614 ,    0.62122 ,   -0.17446 ,   -0.06027 ,    0.18458
   1.89000 ,   -0.03380 ,   -0.64234 ,    0.64323 ,   -0.16527 ,   -0.07823 ,    0.18285
   1.90000 ,    0.07419 ,   -0.65188 ,    0.65609 ,   -0.15113 ,   -0.09274 ,    0.17731
   1.91000 ,    0.18082 ,   -0.63476 ,    0.66001 ,   -0.13337 ,   -0.10265 ,    0.16830
   1.92000 ,    0.27939 ,   -0.59277 ,    0.65532 ,   -0.11352 ,   -0.10724 ,    0.15616
   1.93000 ,    0.36402 ,   -0.52932 ,    0.64241 ,   -0.09320 ,   -0.10623 ,    0.14132
   1.94000 ,    0.43000 ,   -0.44910 ,    0.62177 ,   -0.07399 ,   -0.09979 ,    0.12423
   1.95000 ,    0.47409 ,   -0.35776 ,    0.59393 ,   -0.05733 ,   -0.08848 ,    0.10543
   1.96000 ,    0.49466 ,   -0.26146 ,    0.55951 ,   -0.04441 ,   -0.07319 ,    0.08561
   1.97000 ,    0.49176 ,   -0.16645 ,    0.51916 ,   -0.03614 ,   -0.05509 ,    0.06588
   1.98000 ,    0.46702 ,   -0.07862 ,    0.47359 ,   -0.03306 ,   -0.03550 ,    0.04851
   1.99000 ,    0.42353 ,   -0.00316 ,    0.42354 ,   -0.03535 ,   -0.01580 ,    0.03872
   2.00000 ,    0.36554 ,    0.05585 ,    0.36978 ,   -0.04281 ,    0.00263 ,    0.04290
   2.01000 ,    0.29814 ,    0.09565 ,    0.31311 ,   -0.05493 ,    0.01858 ,    0.05798
   2.02000 ,    0.22687 ,    0.11493 ,    0.25432 ,   -0.07088 ,    0.03101 ,    0.07736
   2.03000 ,    0.15732 ,    0.11392 ,    0.19424 ,   -0.08964 ,    0.03916 ,    0.09782
   2.04000 ,    0.09474 ,    0.09429 ,    0.13366 ,   -0.11006 ,    0.04256 ,    0.11801
   2.05000 ,    0.04365 ,    0.05901 ,    0.07340 ,   -0.13094 ,    0.04108 ,    0.13723
   2.06000 ,    0.00754 ,    0.01211 ,    0.01426 ,   -0.15111 ,    0.03488 ,    0.15508
   2.07000 ,   -0.01132 ,   -0.04169 ,    0.04320 ,   -0.16952 ,    0.02440 ,    0.17127
   2.08000 ,   -0.01207 ,   -0.09726 ,    0.09800 ,   -0.18530 ,    0.01033 ,    0.18559
   2.09000 ,    0.00477 ,   -0.14953 ,    0.14961 ,   -0.19782 ,   -0.00647 ,    0.19793
   2.10000 ,    0.03731 ,   -0.19383 ,    0.19738 ,   -0.20671 ,   -0.02506 ,    0.20822
   2.11000 ,    0.08249 ,   -0.22618 ,    0.24075 ,   -0.21186 ,   -0.04444 ,    0.21647
   2.12000 ,    0.13632 ,   -0.24367 ,    0.27921 ,   -0.21344 ,   -0.06369 ,    0.22274
   2.13000 ,    0.19421 ,   -0.24457 ,    0.31231 ,   -0.21184 ,   -0.08200 ,    0.22715
   2.14000 ,    0.25130 ,   -0.22853 ,    0.33967 ,   -0.20764 ,   -0.09870 ,    0.22991
   2.15000 ,    0.30283 ,   -0.19650 ,    0.36100 ,   -0.20156 ,   -0.11338 ,    0.23126
   2.16000 ,    0.34453 ,   -0.15074 ,    0.37606 ,   -0.19438 ,   -0.12582 ,    0.23155
