     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   2.35000 ,   -2.01064 ,   -1.37183 ,    2.43405 ,   -0.50255 ,    0.18473 ,    0.53543
   2.36000 ,   -1.73536 ,   -1.65980 ,    2.40133 ,   -0.49368 ,    0.13301 ,    0.51129
   2.37000 ,   -1.40845 ,   -1.88924 ,    2.35647 ,   -0.47870 ,    0.08545 ,    0.48627
   2.38000 ,   -1.04336 ,   -2.04952 ,    2.29981 ,   -0.45855 ,    0.04291 ,    0.46056
   2.39000 ,   -0.65593 ,   -2.13329 ,    2.23185 ,   -0.43434 ,    0.00604 ,    0.43438
   2.40000 ,   -0.26346 ,   -2.13708 ,    2.15326 ,   -0.40725 ,   -0.02474 ,    0.40801
   2.41000 ,    0.11620 ,   -2.06157 ,    2.06484 ,   -0.37852 ,   -0.04927 ,    0.38172
   2.42000 ,    0.46576 ,   -1.91162 ,    1.96754 ,   -0.34936 ,   -0.06764 ,    0.35585
   2.43000 ,    0.76942 ,   -1.69614 ,    1.86250 ,   -0.32092 ,   -0.08018 ,    0.33078
   2.44000 ,    1.01395 ,   -1.42749 ,    1.75095 ,   -0.29420 ,   -0.08743 ,    0.30692
   2.45000 ,    1.18939 ,   -1.12093 ,    1.63436 ,   -0.27007 ,   -0.09013 ,    0.28471
   2.46000 ,    1.28972 ,   -0.79354 ,    1.51429 ,   -0.24916 ,   -0.08913 ,    0.26462
   2.47000 ,    1.31322 ,   -0.46339 ,    1.39258 ,   -0.23190 ,   -0.08535 ,    0.24711
   2.48000 ,    1.26256 ,   -0.14828 ,    1.27123 ,   -0.21850 ,   -0.07974 ,    0.23259
   2.49000 ,    1.14461 ,    0.13523 ,    1.15257 ,   -0.20894 ,   -0.07322 ,    0.22140
   2.50000 ,    0.97000 ,    0.37290 ,    1.03921 ,   -0.20303 ,   -0.06663 ,    0.21368
   2.51000 ,    0.75242 ,    0.55368 ,    0.93418 ,   -0.20042 ,   -0.06066 ,    0.20940
   2.52000 ,    0.50766 ,    0.67030 ,    0.84084 ,   -0.20064 ,   -0.05587 ,    0.20828
   2.53000 ,    0.25266 ,    0.71974 ,    0.76279 ,   -0.20319 ,   -0.05267 ,    0.20990
   2.54000 ,    0.00429 ,    0.70331 ,    0.70332 ,   -0.20752 ,   -0.05128 ,    0.21377
   2.55000 ,   -0.22166 ,    0.62649 ,    0.66455 ,   -0.21316 ,   -0.05180 ,    0.21936
   2.56000 ,   -0.41158 ,    0.49849 ,    0.64644 ,   -0.21968 ,   -0.05419 ,    0.22626
   2.57000 ,   -0.55487 ,    0.33150 ,    0.64636 ,   -0.22677 ,   -0.05835 ,    0.23415
   2.58000 ,   -0.64462 ,    0.13981 ,    0.65960 ,   -0.23423 ,   -0.06414 ,    0.24286
   2.59000 ,   -0.67796 ,   -0.06121 ,    0.68072 ,   -0.24199 ,   -0.07144 ,    0.25232
   2.60000 ,   -0.65622 ,   -0.25630 ,    0.70449 ,   -0.25006 ,   -0.08019 ,    0.26261
   2.61000 ,   -0.58467 ,   -0.43136 ,    0.72658 ,   -0.25853 ,   -0.09042 ,    0.27388
   2.62000 ,   -0.47211 ,   -0.57445 ,    0.74356 ,   -0.26748 ,   -0.10230 ,    0.28638
   2.63000 ,   -0.33005 ,   -0.67666 ,    0.75287 ,   -0.27700 ,   -0.11613 ,    0.30036
   2.64000 ,   -0.17185 ,   -0.73274 ,    0.75262 ,   -0.28708 ,   -0.13233 ,    0.31611
   2.65000 ,   -0.01157 ,   -0.74139 ,    0.74148 ,   -0.29755 ,   -0.15145 ,    0.33387
   2.66000 ,    0.13705 ,   -0.70533 ,    0.71853 ,   -0.30806 ,   -0.17408 ,    0.35385
   2.67000 ,    0.26178 ,   -0.63104 ,    0.68318 ,   -0.31806 ,   -0.20084 ,    0.37616
   2.68000 ,    0.35282 ,   -0.52818 ,    0.63518 ,   -0.32671 ,   -0.23228 ,    0.40087
   2.69000 ,    0.40363 ,   -0.40881 ,    0.57449 ,   -0.33296 ,   -0.26882 ,    0.42793
   2.70000 ,    0.41146 ,   -0.28636 ,    0.50130 ,   -0.33552 ,   -0.31063 ,    0.45723
   2.71000 ,    0.37763 ,   -0.17456 ,    0.41603 ,   -0.33293 ,   -0.35762 ,    0.48860
   2.72000 ,    0.30748 ,   -0.08624 ,    0.31934 ,   -0.32363 ,   -0.40931 ,    0.52180
   2.73000 ,    0.20995 ,   -0.03223 ,    0.21241 ,   -0.30604 ,   -0.46485 ,    0.55655
   2.74000 ,    0.09700 ,   -0.02042 ,    0.09912 ,   -0.27866 ,   -0.52293 ,    0.59254
   2.75000 ,   -0.01741 ,   -0.05493 ,    0.05763 ,   -0.24021 ,   -0.58180 ,    0.62944
   2.76000 ,   -0.11834 ,   -0.13571 ,    0.18006 ,   -0.18970 ,   -0.63934 ,    0.66689
   2.77000 ,   -0.19112 ,   -0.25828 ,    0.32130 ,   -0.12660 ,   -0.69309 ,    0.70455
   2.78000 ,   -0.22257 ,   -0.41395 ,    0.46999 ,   -0.05089 ,   -0.74032 ,    0.74206
   2.79000 ,   -0.20218 ,   -0.59026 ,    0.62392 ,    0.03686 ,   -0.77819 ,    0.77906
   2.80000 ,   -0.12307 ,   -0.77185 ,    0.78160 ,    0.13542 ,   -0.80389 ,    0.81522
   2.81000 ,    0.01723 ,   -0.94147 ,    0.94162 ,    0.24290 ,   -0.81475 ,    0.85019
   2.82000 ,    0.21629 ,   -1.08122 ,    1.10265 ,    0.35677 ,   -0.80843 ,    0.88365
   2.83000 ,    0.46675 ,   -1.17395 ,    1.26333 ,    0.47393 ,   -0.78306 ,    0.91531
   2.84000 ,    0.75649 ,   -1.20452 ,    1.42238 ,    0.59080 ,   -0.73741 ,    0.94489
   2.85000 ,    1.06930 ,   -1.16114 ,    1.57850 ,    0.70345 ,   -0.67097 ,    0.97213
   2.86000 ,    1.38581 ,   -1.03639 ,    1.73048 ,    0.80779 ,   -0.58404 ,    0.99681
   2.87000 ,    1.68463 ,   -0.82803 ,    1.87713 ,    0.89969 ,   -0.47781 ,    1.01870
   2.88000 ,    1.94388 ,   -0.53945 ,    2.01735 ,    0.97527 ,   -0.35434 ,    1.03765
   2.89000 ,    2.14257 ,   -0.17983 ,    2.15011 ,    1.03100 ,   -0.21653 ,    1.05349
   2.90000 ,    2.26216 ,    0.23630 ,    2.27447 ,    1.06396 ,   -0.06802 ,    1.06613
   2.91000 ,    2.28790 ,    0.68962 ,    2.38957 ,    1.07195 ,    0.08691 ,    1.07547
   2.92000 ,    2.21007 ,    1.15721 ,    2.49470 ,    1.05368 ,    0.24356 ,    1.08146
   2.93000 ,    2.02481 ,    1.61373 ,    2.58920 ,    1.00881 ,    0.39691 ,    1.08409
   2.94000 ,    1.73466 ,    2.03312 ,    2.67257 ,    0.93805 ,    0.54195 ,    1.08335
   2.95000 ,    1.34871 ,    2.39012 ,    2.74439 ,    0.84312 ,    0.67381 ,    1.07930
   2.96000 ,    0.88219 ,    2.66203 ,    2.80440 ,    0.72673 ,    0.78806 ,    1.07200
   2.97000 ,    0.35587 ,    2.83014 ,    2.85242 ,    0.59247 ,    0.88083 ,    1.06155
   2.98000 ,   -0.20523 ,    2.88113 ,    2.88843 ,    0.44464 ,    0.94908 ,    1.04807
   2.99000 ,   -0.77308 ,    2.80802 ,    2.91250 ,    0.28811 ,    0.99068 ,    1.03173
   3.00000 ,   -1.31841 ,    2.61080 ,    2.92481 ,    0.12807 ,    1.00455 ,    1.01268
   3.01000 ,   -1.81247 ,    2.29662 ,    2.92566 ,   -0.03017 ,    0.99066 ,    0.99112
   3.02000 ,   -2.22876 ,    1.87948 ,    2.91545 ,   -0.18144 ,    0.95010 ,    0.96727
   3.03000 ,   -2.54477 ,    1.37957 ,    2.89466 ,   -0.32094 ,    0.88494 ,    0.94134
   3.04000 ,   -2.74335 ,    0.82209 ,    2.86388 ,   -0.44442 ,    0.79818 ,    0.91357
   3.05000 ,   -2.81387 ,    0.23583 ,    2.82374 ,   -0.54840 ,    0.69360 ,    0.88421
   3.06000 ,   -2.75296 ,   -0.34860 ,    2.77494 ,   -0.63027 ,    0.57551 ,    0.85350
   3.07000 ,   -2.56474 ,   -0.90054 ,    2.71825 ,   -0.68842 ,    0.44863 ,    0.82170
   3.08000 ,   -2.26067 ,   -1.39120 ,    2.65444 ,   -0.72224 ,    0.31777 ,    0.78905
   3.09000 ,   -1.85884 ,   -1.79542 ,    2.58434 ,   -0.73214 ,    0.18769 ,    0.75581
   3.10000 ,   -1.38291 ,   -2.09320 ,    2.50877 ,   -0.71948 ,    0.06283 ,    0.72222
   3.11000 ,   -0.86064 ,   -2.27093 ,    2.42854 ,   -0.68646 ,   -0.05289 ,    0.68849
   3.12000 ,   -0.32217 ,   -2.32223 ,    2.34447 ,   -0.63596 ,   -0.15619 ,    0.65486
   3.13000 ,    0.20183 ,   -2.24828 ,    2.25732 ,   -0.57138 ,   -0.24455 ,    0.62152
   3.14000 ,    0.68208 ,   -2.05775 ,    2.16785 ,   -0.49644 ,   -0.31634 ,    0.58866
   3.15000 ,    1.09252 ,   -1.76618 ,    2.07677 ,   -0.41495 ,   -0.37077 ,    0.55647
   3.16000 ,    1.41188 ,   -1.39492 ,    1.98474 ,   -0.33064 ,   -0.40792 ,    0.52509
   3.17000 ,    1.62503 ,   -0.96976 ,    1.89239 ,   -0.24696 ,   -0.42862 ,    0.49468
   3.18000 ,    1.72382 ,   -0.51921 ,    1.80031 ,   -0.16692 ,   -0.43440 ,    0.46536
   3.19000 ,    1.70752 ,   -0.07270 ,    1.70907 ,   -0.09300 ,   -0.42728 ,    0.43728
   3.20000 ,    1.58284 ,    0.34141 ,    1.61924 ,   -0.02699 ,   -0.40967 ,    0.41056
   3.21000 ,    1.36330 ,    0.69761 ,    1.53142 ,    0.02997 ,   -0.38417 ,    0.38533
   3.22000 ,    1.06832 ,    0.97487 ,    1.44626 ,    0.07743 ,   -0.35335 ,    0.36174
   3.23000 ,    0.72182 ,    1.15797 ,    1.36452 ,    0.11557 ,   -0.31969 ,    0.33994
   3.24000 ,    0.35060 ,    1.23843 ,    1.28710 ,    0.14513 ,   -0.28534 ,    0.32013
   3.25000 ,   -0.01748 ,    1.21499 ,    1.21512 ,    0.16728 ,   -0.25205 ,    0.30251
   3.26000 ,   -0.35541 ,    1.09360 ,    1.14990 ,    0.18348 ,   -0.22110 ,    0.28731
   3.27000 ,   -0.63885 ,    0.88693 ,    1.09306 ,    0.19537 ,   -0.19322 ,    0.27478
   3.28000 ,   -0.84771 ,    0.61346 ,    1.04639 ,    0.20458 ,   -0.16865 ,    0.26513
   3.29000 ,   -0.96752 ,    0.29612 ,    1.01182 ,    0.21262 ,   -0.14710 ,    0.25855
   3.30000 ,   -0.99036 ,   -0.03925 ,    0.99114 ,    0.22075 ,   -0.12791 ,    0.25514
