 Q (1/Ang),S-S  ,S-F  ,F-F  
   4.07000 ,     0.626786039988174E+00 ,    -0.577364844777921E+00 ,     0.276422671257125E+00 , 
   4.09000 ,     0.606567129206633E+00 ,    -0.521647935462646E+00 ,     0.266996905988459E+00 , 
   4.11000 ,     0.577279230412444E+00 ,    -0.458748171991883E+00 ,     0.257472063522686E+00 , 
   4.13000 ,     0.540157775984336E+00 ,    -0.388999094796333E+00 ,     0.247882405385112E+00 , 
   4.15000 ,     0.496567903590259E+00 ,    -0.312860366813333E+00 ,     0.238241126808681E+00 , 
   4.17000 ,     0.447963278168326E+00 ,    -0.230915368160553E+00 ,     0.228540708959444E+00 , 
   4.19000 ,     0.395843851934241E+00 ,    -0.143865721537314E+00 ,     0.218753915777099E+00 , 
   4.21000 ,     0.341713733441761E+00 ,    -0.525227843490434E-01 ,     0.208835395603150E+00 , 
   4.23000 ,     0.287040304321245E+00 ,     0.422037717817685E-01 ,     0.198723832056789E+00 , 
   4.25000 ,     0.233215660179102E+00 ,     0.139320091259231E+00 ,     0.188344574663439E+00 , 
   4.27000 ,     0.181521362603112E+00 ,     0.237764694233633E+00 ,     0.177612667888006E+00 , 
   4.29000 ,     0.133099697793137E+00 ,     0.336422195390005E+00 ,     0.166436759278868E+00 , 
   4.31000 ,     0.889180118681331E-01 ,     0.434163362123071E+00 ,     0.154720389299715E+00 , 
   4.33000 ,     0.497626797139692E-01 ,     0.529836937458498E+00 ,     0.142368991593587E+00 , 
   4.35000 ,     0.162144945129771E-01 ,     0.622311636269741E+00 ,     0.129291344977100E+00 , 
   4.37000 ,    -0.113573354199717E-01 ,     0.710493590214801E+00 ,     0.115403683215412E+00 , 
   4.39000 ,    -0.327974392490397E-01 ,     0.793348363138962E+00 ,     0.100633063642767E+00 , 
   4.41000 ,    -0.481603685118496E-01 ,     0.869922062501044E+00 ,     0.849204507466934E-01 , 
   4.43000 ,    -0.577007749120161E-01 ,     0.939361026038964E+00 ,     0.682234329337363E-01 , 
   4.45000 ,    -0.618580969108623E-01 ,     0.100092959324233E+01 ,     0.505185017484718E-01 , 
   4.47000 ,    -0.612363116958020E-01 ,     0.105402551453936E+01 ,     0.318028355679771E-01 , 
   4.49000 ,    -0.565794317279388E-01 ,     0.109819260629418E+01 ,     0.120955438665777E-01 , 
   4.51000 ,    -0.487435267583360E-01 ,     0.113313032529537E+01 ,    -0.856165686289362E-02 , 
   4.53000 ,    -0.386661306841003E-01 ,     0.115870001067070E+01 ,    -0.301043489557782E-01 , 
   4.55000 ,    -0.273339462907411E-01 ,     0.117492762213201E+01 ,    -0.524458990535786E-01 , 
   4.57000 ,    -0.157497888891279E-01 ,     0.118200288901161E+01 ,    -0.754785058640483E-01 , 
   4.59000 ,    -0.489971189931744E-02 ,     0.118027487245784E+01 ,    -0.990747783922184E-01 , 
   4.61000 ,     0.427876595187539E-02 ,     0.117024403111617E+01 ,    -0.123089799494086E+00 , 
   4.63000 ,     0.109264598144147E-01 ,     0.115255096634738E+01 ,    -0.147363617727909E+00 , 
   4.65000 ,     0.142895424396629E-01 ,     0.112796210430770E+01 ,    -0.171724100351118E+00 , 
   4.67000 ,     0.137430809426047E-01 ,     0.109735264694562E+01 ,    -0.195990072168916E+00 , 
   4.69000 ,     0.881048278900324E-02 ,     0.106168719024830E+01 ,    -0.219974658960313E+00 , 
   4.71000 ,    -0.821630977639314E-03 ,     0.102199846421948E+01 ,    -0.243488750501991E+00 , 
   4.73000 ,    -0.152934748134651E-01 ,     0.979364693687395E+00 ,    -0.266344496829211E+00 , 
   4.75000 ,    -0.345672802761572E-01 ,     0.934886111032670E+00 ,    -0.288358752299967E+00 , 
   4.77000 ,    -0.584276779975044E-01 ,     0.889661170534279E+00 ,    -0.309356385185558E+00 , 
   4.79000 ,    -0.864872062822101E-01 ,     0.844763018853648E+00 ,    -0.329173375759493E+00 , 
   4.81000 ,    -0.118196735513239E+00 ,     0.801216767169161E+00 ,    -0.347659633005526E+00 , 
   4.83000 ,    -0.152860468518155E+00 ,     0.759978087953678E+00 ,    -0.364681468874444E+00 , 
