 Q (1/Ang),S-S  ,S-F  ,F-F  
   2.95000 ,    -0.858903820822760E+00 ,    -0.180559182328620E+01 ,     0.317327403357788E+00 , 
   2.97000 ,    -0.834935919087159E+00 ,    -0.163780547626819E+01 ,     0.310740709835238E+00 , 
   2.99000 ,    -0.787242083988015E+00 ,    -0.147109652631958E+01 ,     0.302729562552825E+00 , 
   3.01000 ,    -0.719968174647927E+00 ,    -0.130757159670153E+01 ,     0.293444579634002E+00 , 
   3.03000 ,    -0.637554864113961E+00 ,    -0.114916335187288E+01 ,     0.283054639209214E+00 , 
   3.05000 ,    -0.544602471609936E+00 ,    -0.997605088274200E+00 ,     0.271746248830273E+00 , 
   3.07000 ,    -0.445736735844255E+00 ,    -0.854410637065406E+00 ,     0.259722218197645E+00 , 
   3.09000 ,    -0.345479017005687E+00 ,    -0.720860241427558E+00 ,     0.247199666558821E+00 , 
   3.11000 ,    -0.248124073598469E+00 ,    -0.597992330405553E+00 ,     0.234407392801244E+00 , 
   3.13000 ,    -0.157628303881064E+00 ,    -0.486601047173852E+00 ,     0.221582661964508E+00 , 
   3.15000 ,    -0.775110016227491E-01 ,    -0.387239251449770E+00 ,     0.208967482269113E+00 , 
   3.17000 ,    -0.107707801767620E-01 ,    -0.300226590665366E+00 ,     0.196804464854254E+00 , 
   3.19000 ,     0.401816304889568E-01 ,    -0.225661304985114E+00 ,     0.185332241109949E+00 , 
   3.21000 ,     0.735708617432286E-01 ,    -0.163437534903510E+00 ,     0.174780884207407E+00 , 
   3.23000 ,     0.882847552781494E-01 ,    -0.113271146927798E+00 ,     0.165368358825706E+00 , 
   3.25000 ,     0.838919817898900E-01 ,    -0.747079562962760E-01 ,     0.157293396095995E+00 , 
   3.27000 ,     0.606271380554843E-01 ,    -0.471594699344595E-01 ,     0.150733004067448E+00 , 
   3.29000 ,     0.193663722769196E-01 ,    -0.299248211571228E-01 ,     0.145837840055682E+00 , 
   3.31000 ,    -0.384159816445444E-01 ,    -0.222162726181830E-01 ,     0.142728568155271E+00 , 
   3.33000 ,    -0.110706136761154E+00 ,    -0.231842966007317E-01 ,     0.141492782855084E+00 , 
   3.35000 ,    -0.195023004146307E+00 ,    -0.319415764782535E-01 ,     0.142182595737140E+00 , 
   3.37000 ,    -0.288501559928330E+00 ,    -0.475853522563207E-01 ,     0.144812966819261E+00 , 
   3.39000 ,    -0.387985816008234E+00 ,    -0.692178332637069E-01 ,     0.149360893962379E+00 , 
   3.41000 ,    -0.490122517770769E+00 ,    -0.959627850478913E-01 ,     0.155765166945042E+00 , 
   3.43000 ,    -0.591468957208776E+00 ,    -0.126981658178391E+00 ,     0.163927496094528E+00 , 
   3.45000 ,    -0.688590539231898E+00 ,    -0.161484356957921E+00 ,     0.173714026917287E+00 , 
   3.47000 ,    -0.778161206938675E+00 ,    -0.198737845183688E+00 ,     0.184957871692467E+00 , 
   3.49000 ,    -0.857058142689392E+00 ,    -0.238071433442756E+00 ,     0.197462381565237E+00 , 
   3.51000 ,    -0.922449122282153E+00 ,    -0.278879001776780E+00 ,     0.211005109315868E+00 , 
   3.53000 ,    -0.971870382832969E+00 ,    -0.320618376615143E+00 ,     0.225342372795664E+00 , 
   3.55000 ,    -0.100329310836081E+01 ,    -0.362808151646564E+00 ,     0.240214309813188E+00 , 
   3.57000 ,    -0.101517697460771E+01 ,    -0.405022312849689E+00 ,     0.255350301776344E+00 , 
   3.59000 ,    -0.100650956607507E+01 ,    -0.446883084332530E+00 ,     0.270474633275614E+00 , 
   3.61000 ,    -0.976830853309295E+00 ,    -0.488052473019310E+00 ,     0.285312255609030E+00 , 
   3.63000 ,    -0.926241757015491E+00 ,    -0.528223327068630E+00 ,     0.299594628164738E+00 , 
   3.65000 ,    -0.855400509089138E+00 ,    -0.567107979063739E+00 ,     0.313064643403450E+00 , 
   3.67000 ,    -0.765498420866852E+00 ,    -0.604431334507484E+00 ,     0.325482763105371E+00 , 
   3.69000 ,    -0.658226785030055E+00 ,    -0.639920212038436E+00 ,     0.336631153358393E+00 , 
   3.71000 ,    -0.535728710273772E+00 ,    -0.673295814133112E+00 ,     0.346318014800011E+00 , 
   3.73000 ,    -0.400539871716619E+00 ,    -0.704267213029164E+00 ,     0.354381115526779E+00 , 
   3.75000 ,    -0.255519665743796E+00 ,    -0.732526509751231E+00 ,     0.360690571186805E+00 , 
   3.77000 ,    -0.103774719057313E+00 ,    -0.757745922599406E+00 ,     0.365150817133122E+00 , 
   3.79000 ,     0.514157006112778E-01 ,    -0.779576013186810E+00 ,     0.367701656771166E+00 , 
   3.81000 ,     0.206714599330061E+00 ,    -0.797651019068591E+00 ,     0.368318911668409E+00 , 
   3.83000 ,     0.358768965714013E+00 ,    -0.811586107079190E+00 ,     0.367013088031718E+00 , 
   3.85000 ,     0.504324122690726E+00 ,    -0.820987275054586E+00 ,     0.363828515253461E+00 , 
   3.87000 ,     0.640297707677925E+00 ,    -0.825457710234118E+00 ,     0.358840954149429E+00 , 
   3.89000 ,     0.763855343433679E+00 ,    -0.824606935768548E+00 ,     0.352154655578754E+00 , 
   3.91000 ,     0.872478789316620E+00 ,    -0.818061323667419E+00 ,     0.343898789870188E+00 , 
   3.93000 ,     0.964025898231339E+00 ,    -0.805475430949383E+00 ,     0.334223226001079E+00 , 
   3.95000 ,     0.103677481942078E+01 ,    -0.786544816206730E+00 ,     0.323294506009782E+00 , 
   3.97000 ,     0.108946734576017E+01 ,    -0.761017469902930E+00 ,     0.311290352339826E+00 , 
   3.99000 ,     0.112132859005900E+01 ,    -0.728706405426580E+00 ,     0.298395163459172E+00 , 
   4.01000 ,     0.113207956951512E+01 ,    -0.689501517621502E+00 ,     0.284795130766539E+00 , 
   4.03000 ,     0.112193460102526E+01 ,    -0.643374252860077E+00 ,     0.270671657383451E+00 , 
   4.05000 ,     0.109159070921210E+01 ,    -0.590402944129242E+00 ,     0.256201826557239E+00 , 
   4.07000 ,     0.104219773590516E+01 ,    -0.530758086994702E+00 ,     0.241547411801597E+00 , 
   4.09000 ,     0.975322092394896E+00 ,    -0.464720163165547E+00 ,     0.226855260216305E+00 , 
   4.11000 ,     0.892899339765776E+00 ,    -0.392678851359392E+00 ,     0.212253066709483E+00 , 
   4.13000 ,     0.797178174227937E+00 ,    -0.315132674539861E+00 ,     0.197846778923679E+00 , 
   4.15000 ,     0.690657401837830E+00 ,    -0.232685885726472E+00 ,     0.183718691483815E+00 , 
   4.17000 ,     0.576018011146019E+00 ,    -0.146042818420024E+00 ,     0.169926310647052E+00 , 
   4.19000 ,     0.456051413418931E+00 ,    -0.559991304983597E-01 ,     0.156501902061281E+00 , 
   4.21000 ,     0.333586859429058E+00 ,     0.365690994604110E-01 ,     0.143452860482493E+00 , 
   4.23000 ,     0.211419181565552E+00 ,     0.130718828287063E+00 ,     0.130762771883878E+00 , 
   4.25000 ,     0.922390614847625E-01 ,     0.225455534853260E+00 ,     0.118393167868620E+00 , 
   4.27000 ,    -0.214324371619628E-01 ,     0.319750435527875E+00 ,     0.106285904186538E+00 , 
   4.29000 ,    -0.127298615085211E+00 ,     0.412554676667574E+00 ,     0.943666490385583E-01 , 
   4.31000 ,    -0.223359076021890E+00 ,     0.502836350203493E+00 ,     0.825460087372157E-01 , 
   4.33000 ,    -0.307922990064851E+00 ,     0.589573840398098E+00 ,     0.707266514290397E-01 , 
   4.35000 ,    -0.379663690165584E+00 ,     0.671793399421355E+00 ,     0.588050123456668E-01 , 
   4.37000 ,    -0.437637125679487E+00 ,     0.748583959371860E+00 ,     0.466759633556525E-01 , 
   4.39000 ,    -0.481294817299496E+00 ,     0.819115365656124E+00 ,     0.342369194554462E-01 , 
   4.41000 ,    -0.510485951228040E+00 ,     0.882655120726100E+00 ,     0.213918353410564E-01 , 
   4.43000 ,    -0.525448774464501E+00 ,     0.938583214064965E+00 ,     0.805497976786412E-02 , 
   4.45000 ,    -0.526791734099235E+00 ,     0.986404682570660E+00 ,    -0.584562410320406E-02 , 
   4.47000 ,    -0.515465082595511E+00 ,     0.102575944513632E+01 ,    -0.203651444096523E-01 , 
   4.49000 ,    -0.492723897213019E+00 ,     0.105642950445747E+01 ,    -0.355394587558050E-01 , 
