       Q,      F(Q)_RMC,  F(Q)_Expt
      7.3999998 ,      -0.4829352 ,      -0.3316158
      7.4199998 ,      -0.4372344 ,      -0.2985432
      7.4399998 ,      -0.3846287 ,      -0.2612452
      7.4599998 ,      -0.3261780 ,      -0.2204050
      7.4799998 ,      -0.2630521 ,      -0.1767698
      7.4999998 ,      -0.1965034 ,      -0.1311335
      7.5199998 ,      -0.1278377 ,      -0.0843198
      7.5399998 ,      -0.0583849 ,      -0.0371634
      7.5599998 ,       0.0105307 ,       0.0095074
      7.5799998 ,       0.0776202 ,       0.0548884
      7.5999998 ,       0.1416568 ,       0.0982163
      7.6199998 ,       0.2015028 ,       0.1387840
      7.6399998 ,       0.2561320 ,       0.1759547
      7.6599998 ,       0.3046509 ,       0.2091740
      7.6799998 ,       0.3463147 ,       0.2379796
      7.6999998 ,       0.3805410 ,       0.2620093
      7.7199998 ,       0.4069187 ,       0.2810064
      7.7399998 ,       0.4252127 ,       0.2948221
      7.7599998 ,       0.4353649 ,       0.3034161
      7.7799998 ,       0.4374909 ,       0.3068544
      7.7999998 ,       0.4318723 ,       0.3053047
      7.8199998 ,       0.4189460 ,       0.2990300
      7.8399998 ,       0.3992898 ,       0.2883797
      7.8599998 ,       0.3736052 ,       0.2737791
      7.8799998 ,       0.3426977 ,       0.2557181
      7.8999998 ,       0.3074554 ,       0.2347375
      7.9199998 ,       0.2688260 ,       0.2114161
      7.9399998 ,       0.2277930 ,       0.1863560
      7.9599998 ,       0.1853524 ,       0.1601684
      7.9799998 ,       0.1424892 ,       0.1334601
      7.9999998 ,       0.1001547 ,       0.1068193
      8.0199998 ,       0.0592464 ,       0.0808037
      8.0399998 ,       0.0205883 ,       0.0559291
      8.0599998 ,      -0.0150847 ,       0.0326590
      8.0799998 ,      -0.0471414 ,       0.0113969
      8.0999998 ,      -0.0750643 ,      -0.0075209
      8.1199998 ,      -0.0984576 ,      -0.0238296
      8.1399998 ,      -0.1170517 ,      -0.0373390
      8.1599998 ,      -0.1307040 ,      -0.0479342
      8.1799998 ,      -0.1393968 ,      -0.0555750
      8.1999998 ,      -0.1432323 ,      -0.0602925
      8.2199998 ,      -0.1424246 ,      -0.0621854
      8.2399998 ,      -0.1372894 ,      -0.0614136
      8.2599998 ,      -0.1282311 ,      -0.0581913
      8.2799998 ,      -0.1157283 ,      -0.0527785
      8.2999998 ,      -0.1003184 ,      -0.0454722
      8.3199998 ,      -0.0825809 ,      -0.0365969
      8.3399998 ,      -0.0631200 ,      -0.0264944
      8.3599998 ,      -0.0425478 ,      -0.0155142
      8.3799998 ,      -0.0214676 ,      -0.0040038
      8.3999998 ,      -0.0004585 ,       0.0077001
      8.4199998 ,       0.0199393 ,       0.0192806
      8.4399998 ,       0.0392370 ,       0.0304475
      8.4599998 ,       0.0570083 ,       0.0409438
      8.4799998 ,       0.0728976 ,       0.0505509
      8.4999998 ,       0.0866267 ,       0.0590925
